Fuel Type Code,Access Days Time,Latitude,Longitude,Owner Type Code,Access Code,Access Detail Code,Facility Type,,,,
1,,32.367916,-86.267021,2,1,,1,,,,
1,24 hours daily,33.745843,-84.398837,1,2,KEY_ALWAYS,1,,,,
1,,33.821911,-84.367461,3,1,GOVERNMENT,11,,,access code,private - 1
1,,33.760256,-84.543822,1,1,,1,,,,public - 2
1,24 hours daily; call 866-809-4869 for Clean Energy card,29.779918,-95.435385,1,2,CREDIT_CARD_ALWAYS,6,,,,
1,24 hours daily,35.362213,-94.375338,2,2,CREDIT_CARD_ALWAYS,3,,,owner type,P - private - 1
1,24 hours daily; call 866-809-4869 for Clean Energy card,42.37470555,-71.02654861,4,2,CREDIT_CARD_ALWAYS,4,,,,T - Global - 2
1,24 hours daily; call 866-809-4869 for Clean Energy card,42.393167,-71.064352,2,2,CREDIT_CARD_ALWAYS,1,,,,LG - local government - 3
1,24 hours daily; call 866-809-4869 for Clean Energy card,40.718037,-73.932309,2,2,CREDIT_CARD_ALWAYS,3,,,,SG - state government - 4
1,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts OGS,40.64554,-73.918344,2,2,CREDIT_CARD_ALWAYS,3,,,,
1,,39.795998,-86.169223,1,1,,1,,,facility type,stand alone stations - 1
1,24 hours daily,39.736169,-86.161743,2,2,CREDIT_CARD_ALWAYS,1,,,,municipal government - 2
1,24 hours daily,41.736894,-72.660257,1,2,,8,,,,utility - 3
1,24 hours daily,30.471166,-91.087975,1,2,CREDIT_CARD_ALWAYS,1,,,,airport - 4
1,24 hours daily; call 866-809-4869 for Clean Energy card,35.65758,-105.993406,3,2,CREDIT_CARD_ALWAYS,11,,,,school - 5
1,24 hours daily,38.966292,-94.715917,2,2,CREDIT_CARD_ALWAYS,3,,,,state government - 6
1,,43.599179,-116.276042,2,1,,3,,,,car dealer - 7
1,,42.949867,-112.468069,2,1,,3,,,,convenience store - 8
1,,43.509729,-112.007445,2,1,,3,,,,fuel reseller - 9
1,,43.615117,-116.618458,2,1,,3,,,,fire station - 10
1,,43.559171,-116.241498,3,1,,11,,,,others - 11
1,24 hours daily,39.058754,-95.667854,2,2,CREDIT_CARD_ALWAYS,3,,,,
1,24 hours daily,38.598601,-90.323574,2,2,KEY_ALWAYS,1,,,,
1,24 hours daily; call 866-809-4869 for Clean Energy card,40.785664,-73.219818,2,2,CREDIT_CARD_ALWAYS,3,,,fuel type,cng - 1
1,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts OGS,40.766799,-73.509603,2,2,CREDIT_CARD_ALWAYS,3,,,,electric - 2
1,24 hours daily; call 866-809-4869 for Clean Energy card,32.817883,-96.988716,1,2,CREDIT_CARD_ALWAYS,2,,,,e85 - 3
1,24 hours daily; call 866-809-4869 for Clean Energy card,32.76662,-96.807086,1,2,CREDIT_CARD_ALWAYS,11,,,,lpg - 4
1,24 hours daily; call 866-809-4869 for Clean Energy card,32.89683,-96.68401,1,2,CREDIT_CARD_ALWAYS,5,,,,biodiesel - 5
1,Fleet customers may contact the station for fueling access,40.599413,-111.993532,4,1,FLEET,5,,,,
1,24 hours daily,40.764976,-111.922291,2,2,CREDIT_CARD_ALWAYS,1,,,,
1,,40.767168,-111.921952,2,1,,3,,,,
1,,40.703021,-111.922753,3,1,GOVERNMENT,11,,,,
1,24 hours daily,41.734633,-111.861488,1,2,CREDIT_CARD_ALWAYS,8,,,,
1,24 hours daily,39.586805,-110.813433,1,2,CREDIT_CARD_ALWAYS,8,,,,
1,24 hours daily,38.786621,-112.084147,1,2,CREDIT_CARD_ALWAYS,11,,,,
1,Fleet customers may contact station for fueling access,37.69344,-113.094441,2,1,FLEET,1,,,,
1,24 hours daily; contact 251-450-4704 to set up account,30.689832,-88.108861,2,1,FLEET,11,,,,
1,7:30am-6pm M-F; contact 612-861-8447 to set up account with CenterPoint,44.891455,-93.285766,2,1,FLEET,3,,,,
1,,41.235148,-96.011954,2,1,,3,,,,
1,24 hours daily,39.407087,-104.872002,1,2,CREDIT_CARD_ALWAYS,1,,,,
1,24 hours daily; call 866-809-4869 for Clean Energy card,39.83765605,-104.6805,1,2,CREDIT_CARD_ALWAYS,11,,,,
1,24 hours daily; call 866-809-4869 for Clean Energy card,42.667569,-73.739345,2,2,CREDIT_CARD_ALWAYS,3,,,,
1,,45.562809,-122.537882,2,1,,3,,,,
1,,45.46966,-122.567129,2,1,,3,,,,
1,,44.971345,-123.029369,2,1,,3,,,,
1,8:30am-4:30pm M-F,44.9224565,-123.003936,4,2,CREDIT_CARD_ALWAYS,6,,,,
1,,35.473122,-97.551807,3,1,GOVERNMENT,2,,,,
1,,35.455709,-97.585311,1,1,,11,,,,
1,,35.520864,-97.51313,2,1,,3,,,,
2,24 hours daily; pay lot; see valet for access,33.7637,-118.192,1,2,,11,,,,
2,24 hours daily; pay lot,33.94325,-118.403342,3,2,,4,,,,
2,6am-12am daily,34.241116,-118.556708,1,2,,11,,,,
2,24 hours daily; guest use only,34.07122,-117.575,1,2,,11,,,,
2,24 hours daily; guest use only,34.228315,-119.170865,1,2,,11,,,,
2,24 hours daily; pay lot; priority given to registered guests,33.824004,-116.543589,1,2,,11,,,,
2,Dealership business hours,37.700187,-121.876172,1,2,,7,,,,
2,"24 hours M-Th, 12am-4:30pm F",34.0189,-117.38,1,2,,11,,,,
2,24 hours daily; pay lot,38.69005,-121.58889,1,2,,4,,,,
2,24 hours daily,34.017081,-118.44704,3,2,,4,,,,
2,24 hours daily; pay lot,34.010021,-118.49583,3,2,,2,,,,
2,6am-12am daily,34.156839,-118.434454,1,2,,11,,,,
2,24 hours daily,33.49605,-117.152,3,2,,11,,,,
2,24 hours daily; pay lot; see valet for access,34.138717,-118.35904,1,2,,11,,,,
2,24 hours daily,34.21108,-118.448704,1,2,,11,,,,
2,24 hours daily,33.94756,-118.153806,2,2,,11,,,,
2,24 hours daily; pay lot; see valet for access,37.80619,-122.4152,1,2,,11,,,,
2,24 hours daily,38.599693,-121.427045,1,2,,11,,,,
2,24 hours daily; Also accepts Mobile Now,33.700072,-117.842978,1,2,,11,,,,
2,Service center use only,34.231802,-118.25136,1,1,,7,,,,
2,Dealership business hours; see receptionist for access,32.744765,-117.030389,1,2,CALL,7,,,,
2,24 hours daily; parking permit required for use,34.051634,-117.820001,1,2,,11,,,,
2,Service center use only,38.75073,-121.253984,1,1,,7,,,,
2,Service center use only,38.751057,-121.258828,1,1,,7,,,,
2,Dealership business hours; Ford vehicle use only,32.80377,-117.218255,1,2,CALL,7,,,,
2,24 hours daily,37.692678,-122.171053,1,2,,3,,,,
2,,37.711856,-122.16108,1,1,,7,,,,
2,For service center use only,34.932131,-120.419361,1,1,,7,,,,
2,Dealership business hours,34.922993,-120.423064,1,2,CALL,7,,,,
2,Service center use only,33.512012,-117.15432,1,1,,7,,,,
2,Dealership business hours; for customer use only,34.1629744,-118.8282546,1,2,CALL,7,,,,
2,24 hours daily,38.361235,-121.975962,3,2,,2,,,,
2,Service center use only,34.178786,-118.448808,1,1,,7,,,,
2,Service center use only,34.17717,-118.449689,1,1,,7,,,,
2,Dealership business hours; for Ford vehicles only,33.196108,-117.250815,1,2,CALL,7,,,,
2,,34.182338,-118.606363,1,1,,7,,,,
2,24 hours daily,40.077325,-105.239377,3,2,,11,,,,
2,24 hours daily; pay lot,39.721214,-104.952506,3,2,,11,,,,
2,24 hours daily,39.742308,-104.997556,3,2,,11,,,,
2,24 hours daily,39.738477,-104.994018,3,2,,11,,,,
2,24 hours daily; pay lot,39.74816,-105.001949,3,2,,11,,,,
2,Dealership business hours,27.610781,-81.515615,1,2,CALL,7,,,,
2,Dealership business hours; for customer use only; emergency use only for others,26.629628,-80.07295,1,2,CALL,7,,,,
2,Dealership business hours,36.843713,-81.503731,1,2,,7,,,,
2,Dealership business hours; for customer use only,37.506999,-77.592621,1,2,CALL,7,,,,
2,Dealership business hours; for Chevrolet use only,37.075503,-76.474858,1,2,CALL,7,,,,
2,Dealership business hours,37.148296,-76.525986,1,2,CALL,7,,,,
2,Dealership business hours,36.912437,-76.235477,1,2,CALL,7,,,,
2,24 hours daily,37.658874,-77.630953,1,2,CALL,7,,,,
2,24 hours daily,37.535744,-77.435268,1,2,,11,,,,
2,By appointment only; call 703-893-9400,38.915646,-77.222241,1,1,,11,,,,
2,8am-9pm daily,36.850535,-76.027886,1,2,,11,,,,
2,Service center use only,38.6526,-77.312023,1,1,,7,,,,
2,Dealership business hours,45.650388,-122.604007,1,2,CALL,7,,,,
2,Dealership business hours,43.205714,-77.476722,1,2,CALL,7,,,,
2,Dealership business hours,43.110055,-75.293478,1,2,CALL,7,,,,
2,24 hours daily; no overnight parking,41.289769,-82.217186,3,2,,2,,,,
3,,40.856204,-96.717819,4,1,GOVERNMENT,6,,,,
3,,40.811394,-96.699689,4,1,GOVERNMENT,6,,,,
3,,40.91701,-98.379743,4,1,GOVERNMENT,6,,,,
3,"7am-6pm M-F, 7am-5pm Sat",44.904113,-97.130798,1,2,CREDIT_CARD_AFTER_HOURS,11,,,,
3,"6am-10pm M-Sat, 8am-10pm Sun",44.00769,-97.146785,1,2,CREDIT_CARD_AFTER_HOURS,11,,,,
3,,40.762848,-96.701622,4,1,GOVERNMENT,6,,,,
3,24 hours daily,42.034894,-93.575925,1,2,,8,,,,
3,24 hours daily,40.825493,-91.208355,1,2,,11,,,,
3,5:30am-12am daily,38.588189,-92.255887,1,2,CREDIT_CARD_AFTER_HOURS,8,,,,
3,24 hours daily,44.103769,-103.14969,1,2,,8,,,,
3,24 hours daily,41.533405,-93.599386,1,2,,8,,,,
3,6am-10pm daily,42.449038,-92.318795,1,2,CREDIT_CARD_AFTER_HOURS,11,,,,
3,24 hours daily,41.809699,-88.007693,1,2,,8,,,,
3,24 hours daily,41.599763,-87.910865,1,2,,8,,,,
3,24 hours daily,39.38737,-87.39684,1,2,,8,,,,
3,24 hours daily,39.021567,-84.586712,1,2,,8,,,,
3,24 hours daily,36.953267,-84.579847,1,2,,8,,,,
3,24 hours daily,43.179333,-85.551016,1,2,,8,,,,
3,24 hours daily,42.24582,-83.583466,1,2,,8,,,,
3,24 hours daily,39.910446,-82.824963,1,2,,8,,,,
3,"5:30am-11:30pm M-Th, 5:30am-12:30am F, 6am-12:30am Sat, 8am-11:30pm Sun",41.421992,-81.610225,1,2,,8,,,,
3,24 hours daily,41.314052,-81.511859,1,2,,8,,,,
3,24 hours daily,36.306769,-95.597339,1,2,,8,,,,
4,8am-5pm M-F; must have state decal,33.136025,-85.362562,1,2,,9,,,,
4,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),33.33152793,-85.47636822,1,2,CALL,9,,,,
4,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),32.613832,-85.371078,1,2,CALL,9,,,,
4,8am-5pm M-F,33.44524,-88.84445,1,2,CALL,9,,,,
4,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only) (full service); 24 hour access with Alliance AutoGas card (self-service)",31.730092,-89.428718,1,2,CALL,9,,,,
4,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only) (full service); 24 hour access with Alliance AutoGas card (self-service)",32.332444,-89.153519,1,2,,9,,,,
4,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),32.044212,-88.728494,1,2,,9,,,,
4,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only) (full service); 24 hour access with Alliance AutoGas card (self-service)",31.66465234,-88.62882024,1,2,CALL,9,,,,
4,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only)",30.387011,-89.092705,1,2,,9,,,,
4,7:30am-5pm M-F,31.125255,-90.105773,1,2,CALL,9,,,,
4,8am-4pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),36.96700673,-86.47675714,1,2,KEY_AFTER_HOURS,9,,,,
4,8am-4pm M-F,41.599915,-83.793113,1,2,CALL,9,,,,
4,8am-4pm M-F,41.021243,-81.527391,1,2,,9,,,,
4,"7am-8pm M-F, 7:30am-8pm Sat, 8am-8pm Sun",40.2880521,-84.1853395,1,2,,11,,,,
4,"8am-6pm M-F, 8am-4pm Sat",39.801785,-84.119562,1,2,,9,,,,
4,8am-5pm M-F,39.686648,-86.191362,1,2,,9,,,,
4,"8am-5pm M-F, 9am-12pm Sat; must have state decal",41.703187,-85.999989,1,2,,9,,,,
